Stock Symbol
AAOI
AGQ
AKRO
ALAB
AMC
APLS
ARQT
ARRY
AWIN
BE
BHVN
BITX
BOIL
BYON
CABA
CADL
CENX
CLSK
COIN
CONL
DELL
DJT
DPST
DXYZ
DYN
EDBL
ELF
ENPH
ENVX
EXAS
FLNC
FSLR
FWRD
GCT
GDXU
GH
GME
GTBP
HIMS
HOOD
IBRX
INSM
IRBT
JAGX
JANX
KOLD
LABU
LEGN
MARA
MGNI
MGNX
MRNA
MSTR
MULN
NRIX
NVAX
NVDL
NXT
OKLO
OSCR
OUST
PALI
PGY
PLCE
RDDT
RENT
RILY
RIOT
RNA
RUN
SAGE
SG
SGBX
SMCI
SMR
SOXL
SOXS
SPT
STOK
TNDM
TSLT
TSLZ
UNG
VSAT
VST
WISA
WOLF
WSM
